Unique_id,TotalStepsTravelled,CaloriesBurned,TotalFairlyActiveMinutes,TotalLightlyActiveMinutes,TotalVeryActiveMinutes,UserActivityStatus,UserLevelBasedonDistance,FitnessTrackerUsed(Days),AverageDistanceTravelled
1503960366,375619,56309,594,6818,1200,ActiveUser,Pro,31,7.809677386
1624580081,178061,45984,180,4758,269,ActiveUser,Beginner,31,3.914838729
1644430081,218489,84339,641,5354,287,ActiveUser,Intermediate,30,5.295333354
1844505072,79982,48778,40,3579,4,ActiveUser,Beginner,31,1.706129037
1927972279,28400,67357,24,1196,41,ActiveUser,Beginner,31,0.634516123
2022484408,352490,77809,600,7981,1125,ActiveUser,Pro,31,8.084193491
2026352035,172573,47760,8,7956,3,ActiveUser,Beginner,31,3.454838715
2320127002,146223,53449,80,6144,42,ActiveUser,Beginner,31,3.187741904
2347167796,171354,36782,370,4545,243,ModerateActive,Intermediate,18,6.355555536
2873212765,234229,59426,190,9548,437,ActiveUser,Intermediate,31,5.10161286
3372868164,137233,38662,82,6558,183,ModerateActive,Intermediate,20,4.707000041
3977333714,329537,45410,1838,5243,567,ActiveUser,Pro,30,7.516999944
4020332650,70284,73960,166,2385,161,ActiveUser,Beginner,31,1.626129039
4057192912,15352,7895,6,412,3,LightActive,Beginner,4,2.862500012
4319703577,225334,63168,382,7092,111,ActiveUser,Intermediate,31,4.892258047
4388161847,335232,95910,631,7110,718,ActiveUser,Pro,31,8.393225893
4445114986,148693,67772,54,6482,205,ActiveUser,Beginner,31,3.24580644
4558609924,238239,63031,425,8834,322,ActiveUser,Intermediate,31,5.080645177
4702921684,265734,91932,807,7362,159,ActiveUser,Intermediate,31,6.955161283
5553957443,266990,58146,403,6392,726,ActiveUser,Intermediate,31,5.63967745
5577150313,249133,100789,895,4438,2620,ActiveUser,Intermediate,30,6.213333305
6117666160,197308,63312,57,8074,44,ActiveUser,Intermediate,28,5.342142914
6290855005,163837,75389,110,6596,80,ActiveUser,Intermediate,29,4.272413805
6775888955,65512,55426,385,1044,286,ActiveUser,Beginner,26,1.813461516
6962181067,303639,61443,574,7620,707,ActiveUser,Intermediate,31,6.585806477
7007744171,294409,66144,423,7299,807,ActiveUser,Pro,26,8.015384592
7086361926,290525,79557,786,4459,1320,ActiveUser,Intermediate,31,6.388064508
8053475328,457662,91320,297,4680,2640,ActiveUser,Pro,31,11.4751612
8253242879,123161,33972,272,2221,390,ModerateActive,Intermediate,19,4.667368468
8378563200,270249,106534,318,4839,1819,ActiveUser,Intermediate,31,6.913548462
8583815059,223154,84693,688,4287,300,ActiveUser,Intermediate,31,5.615483822
8792009665,53758,56907,117,2662,28,ActiveUser,Beginner,29,1.186551717
8877689391,497241,106028,308,7276,2048,ActiveUser,Pro,31,13.21290314
Grand Total,7179636,2165393,12751,181244,19895,,,,
